제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
2년만입니다!!! 혜안져스 라이어게임 (※20분 순삭🔥),IEWfT43_REY,2025-02-28T10:38:59Z,https://i.ytimg.com/vi/IEWfT43_REY/hqdefault.jpg,0:20:17,687372,captions\IEWfT43_REY.txt
[로블록스] 숨어있는 100개의 버튼 찾기!! 못 찾으면 집에 못 가요!! - 민또 경또 -,iOYhtN_FSNQ,2024-12-05T08:15:02Z,https://i.ytimg.com/vi/iOYhtN_FSNQ/hqdefault.jpg,0:32:59,422702,captions\iOYhtN_FSNQ.txt
폭탄과일로 수박이 터진다고?! 수박게임 Fruit Salad,M3nwYCMWK0w,2024-08-09T23:30:05Z,https://i.ytimg.com/vi/M3nwYCMWK0w/hqdefault.jpg,0:25:15,808004,captions\M3nwYCMWK0w.txt
[로블록스] 귀엽고 멋진 동물들이 나오는 재밌는 동물 게임 모음!! - 민또 경또 -,75TMHmzzSwo,2024-08-25T07:30:03Z,https://i.ytimg.com/vi/75TMHmzzSwo/hqdefault.jpg,1:04:30,252634,captions\75TMHmzzSwo.txt
거대 기생충 터널에서 이 남자가 살아남는 법,qzQLtDiGzZI,2025-05-07T02:30:42Z,https://i.ytimg.com/vi/qzQLtDiGzZI/hqdefault.jpg,0:23:16,81258,captions\qzQLtDiGzZI.txt
새로운 집으로 이사를 가고 나서 벌어진 일 (공포게임/Unmourned),wCvjv7iMqjE,2025-04-14T12:56:45Z,https://i.ytimg.com/vi/wCvjv7iMqjE/hqdefault.jpg,0:35:06,142226,captions\wCvjv7iMqjE.txt
더 레전드로 돌아왔습니다! [혜안져스 양세찬게임2],hPvwXDx83Ho,2024-10-18T10:27:55Z,https://i.ytimg.com/vi/hPvwXDx83Ho/hqdefault.jpg,0:23:19,1231677,captions\hPvwXDx83Ho.txt
제10회 보드게임 동호회,TXcwSkUKaIQ,2025-03-27T10:00:29Z,https://i.ytimg.com/vi/TXcwSkUKaIQ/hqdefault.jpg,0:27:35,831101,captions\TXcwSkUKaIQ.txt
7일간 산 속에서 텐트치고 숙박하는 게임,R_VTAPI3yjo,2025-03-30T02:30:26Z,https://i.ytimg.com/vi/R_VTAPI3yjo/hqdefault.jpg,0:25:42,297479,
[모바일게임] 3D운전교실2! 간단 택시 상황극과 택시 이야기!,i0t_CY5U6T4,2025-05-07T10:01:37Z,https://i.ytimg.com/vi/i0t_CY5U6T4/hqdefault.jpg,0:20:27,3046,
"리뷰 7000개가 싹다 극찬인 ""범죄현장 청소게임"" (※1시간 순삭)",k3LrNFczuV0,2024-10-04T10:44:45Z,https://i.ytimg.com/vi/k3LrNFczuV0/hqdefault.jpg,0:51:35,1620076,captions\k3LrNFczuV0.txt
방구석에서 해외여행을 체험하는 실제같은 게임 (Lushfoil Photography Sim),kgfeh4ri06I,2025-04-18T12:30:53Z,https://i.ytimg.com/vi/kgfeh4ri06I/hqdefault.jpg,3:52:21,234033,
[로블록스] 어둠의 요리를 만드는 초밥 괴물이 나타났어요!! - 민또 경또 -,_JgcIumrk-8,2025-02-15T08:00:33Z,https://i.ytimg.com/vi/_JgcIumrk-8/hqdefault.jpg,0:26:17,205109,captions\_JgcIumrk-8.txt
그저 CCTV만 보는데 지옥같은 공포게임,1t_c_OlVET0,2024-06-20T06:00:01Z,https://i.ytimg.com/vi/1t_c_OlVET0/hqdefault.jpg,0:31:16,915447,captions\1t_c_OlVET0.txt
엄마한테 걸리지 않고 몰래 야식 찾기(공포게임),E7Z2kPZpHng,2025-04-08T13:04:54Z,https://i.ytimg.com/vi/E7Z2kPZpHng/hqdefault.jpg,0:31:29,187225,captions\E7Z2kPZpHng.txt
제4회 보드게임 동호회,4EGG7ZBhk5c,2024-10-17T10:00:07Z,https://i.ytimg.com/vi/4EGG7ZBhk5c/hqdefault.jpg,0:30:38,1503158,captions\4EGG7ZBhk5c.txt
친구끼리 게임한 겜쩜하네 모아봤쩜1 구스구스덕 | 마피아 | 라이어,ER96qU0wd1A,2024-02-04T01:00:06Z,https://i.ytimg.com/vi/ER96qU0wd1A/hqdefault.jpg,0:43:17,1032846,captions\ER96qU0wd1A.txt
게임이 현실이 된다면!? 모아보기,aCIunBf8BZM,2022-05-13T09:15:00Z,https://i.ytimg.com/vi/aCIunBf8BZM/hqdefault.jpg,0:49:53,2300494,captions\aCIunBf8BZM.txt
자동차 부품을 파밍 하면서 모험 떠나는 게임 (Drive Beyond Horizons),h4dQYLCwjtQ,2025-04-22T12:50:02Z,https://i.ytimg.com/vi/h4dQYLCwjtQ/hqdefault.jpg,3:05:22,306508,
진짜 너무나 신기한 공포게임,WFB2gMBBnNo,2025-04-08T02:30:31Z,https://i.ytimg.com/vi/WFB2gMBBnNo/hqdefault.jpg,0:37:14,169032,captions\WFB2gMBBnNo.txt
한 명만 실수해도 죽는 지옥의 탈출게임🔥,3wJWgqaIO9o,2024-07-25T07:08:21Z,https://i.ytimg.com/vi/3wJWgqaIO9o/hqdefault.jpg,0:35:13,937322,captions\3wJWgqaIO9o.txt
【광고X】 게임할때 듣기 좋은 매드무비 NCS 노래 모음 [캐리모드 ON],gMG23c0qAFc,2023-12-09T07:30:52Z,https://i.ytimg.com/vi/gMG23c0qAFc/hqdefault.jpg,1:41:48,4181815,
화나서 머리털 다 빠지는 게임ㅋㅋㅋ,WljH6JM920s,2025-02-18T11:32:41Z,https://i.ytimg.com/vi/WljH6JM920s/hqdefault.jpg,0:25:45,81869,captions\WljH6JM920s.txt
"돈이 없다, 게임이 없다. 투자자들이 본 게임업계 위기 [투자자 초대석 #1][CC]",_CybRXVZw3c,2025-04-07T09:00:42Z,https://i.ytimg.com/vi/_CybRXVZw3c/hqdefault.jpg,0:22:08,188546,captions\_CybRXVZw3c.txt
250506 뭐? 어려운 퍼즐게임이라고? 그래 오늘 다 죽어보자 [Chants Of Sennaar],Gh8vjAvShxA,2025-05-06T23:23:02Z,https://i.ytimg.com/vi/Gh8vjAvShxA/hqdefault.jpg,11:50:33,30368,captions\Gh8vjAvShxA.txt
완벽히 3D로 돌아온 항아리게임,hAhYp2WI8vw,2025-02-25T02:30:34Z,https://i.ytimg.com/vi/hAhYp2WI8vw/hqdefault.jpg,0:29:58,676762,captions\hAhYp2WI8vw.txt
"이건 게임이 아니다, 형벌이다.",DW6R70iDuOQ,2024-04-29T02:30:06Z,https://i.ytimg.com/vi/DW6R70iDuOQ/hqdefault.jpg,0:37:45,2052270,captions\DW6R70iDuOQ.txt
IQ130 이상만 깬다는 애벌레로 조각하는 게임,lpGwpU8ATC8,2024-10-10T02:30:25Z,https://i.ytimg.com/vi/lpGwpU8ATC8/hqdefault.jpg,0:21:15,1046932,captions\lpGwpU8ATC8.txt
돌아온 유튜버들을 미치게 하는 게임 1위,dlXQe6-izJU,2024-12-22T02:30:20Z,https://i.ytimg.com/vi/dlXQe6-izJU/hqdefault.jpg,0:27:24,645223,captions\dlXQe6-izJU.txt
친구끼리 게임한 겜쩜하네 모아봤쩜2 금칙어 희생게임 패더파티 얼음땡,r-Tr4_5kMwA,2024-11-24T01:00:39Z,https://i.ytimg.com/vi/r-Tr4_5kMwA/hqdefault.jpg,0:45:48,184628,captions\r-Tr4_5kMwA.txt
"리뷰 40000개가 칭찬인 ""스폰지밥의 집을 청소해주는 게임"" 밤 샙니다",g281SsZxDj8,2024-05-27T10:15:01Z,https://i.ytimg.com/vi/g281SsZxDj8/hqdefault.jpg,0:23:31,1761202,captions\g281SsZxDj8.txt
수많은 억까를 분석해서 집으로 돌아가는 게임,KXp4k84pRfA,2025-01-15T02:30:11Z,https://i.ytimg.com/vi/KXp4k84pRfA/hqdefault.jpg,0:27:57,520933,captions\KXp4k84pRfA.txt
인사이드 아웃 젤리 먹으면 감옥 탈출? ㅋㅋㅋ,OlcDPtIRUss,2024-08-03T02:00:10Z,https://i.ytimg.com/vi/OlcDPtIRUss/hqdefault.jpg,0:23:48,1096625,captions\OlcDPtIRUss.txt
잡히면 방송 영정 당하는 '그 게임' 레전드 찍었습니다🔞,F78BIWesVmw,2025-04-11T12:02:03Z,https://i.ytimg.com/vi/F78BIWesVmw/hqdefault.jpg,0:24:31,470347,captions\F78BIWesVmw.txt
※20분 순삭※ 혜안져스 레전드 양세찬게임ㅋㅋㅋㅋㅋㅋㅋㅋ,vStelgqUjxs,2024-09-21T10:32:56Z,https://i.ytimg.com/vi/vStelgqUjxs/hqdefault.jpg,0:21:45,1368269,
어린이날은 스팀할인 게임이 최고!! 가성비 게임 모음!! 최대 95%할인!! (5월 5일),OYL6ax5X_yk,2025-05-05T09:33:08Z,https://i.ytimg.com/vi/OYL6ax5X_yk/hqdefault.jpg,0:22:40,7758,captions\OYL6ax5X_yk.txt
Mario Kart 8 Deluxe - Pikachu Drivers B Dasher MK. 2 in Golden Dash Cup | The Best Racing Game,GsU6OWUGmFE,2024-04-26T12:00:14Z,https://i.ytimg.com/vi/GsU6OWUGmFE/hqdefault.jpg,0:26:31,2630815,
"4월 모바일게임 국내 매출,글로벌 매출 둘러보기-주년이 가득했던 한달-",zT7fVNAz4dc,2025-05-04T03:05:50Z,https://i.ytimg.com/vi/zT7fVNAz4dc/hqdefault.jpg,0:25:43,33624,captions\zT7fVNAz4dc.txt
※25분 순삭※ 혜안져스 새 생존게임🤣ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,d6vfqIn4YMc,2024-07-26T10:25:00Z,https://i.ytimg.com/vi/d6vfqIn4YMc/hqdefault.jpg,0:25:33,2031249,captions\d6vfqIn4YMc.txt
제6회 보드게임 동호회,qV42Tc3iBo8,2024-12-17T10:00:56Z,https://i.ytimg.com/vi/qV42Tc3iBo8/hqdefault.jpg,0:24:37,1403112,captions\qV42Tc3iBo8.txt
많은 사람들이 실종됐다는 저주받은 저택 (공포게임/Mansion of the Dead),WM3Ulg8f0pE,2025-03-15T12:51:03Z,https://i.ytimg.com/vi/WM3Ulg8f0pE/hqdefault.jpg,0:33:33,238756,captions\WM3Ulg8f0pE.txt
일본의 센주쿠 역에서 탈출하는 공포게임 (Platform 5 Dungeons),jTCFIBl6WD0,2025-04-03T12:49:51Z,https://i.ytimg.com/vi/jTCFIBl6WD0/hqdefault.jpg,0:53:46,233758,captions\jTCFIBl6WD0.txt
