channelId,channelTitle
UCCjXIDA-gCOWu1GFw_gEG0g,롤린이곰탱씨
UCKHLz9f-2Yd0vD6KkXeJ2RQ,롤스타그램
UCaVvRFbf5BBYB5AYNo_gLQQ,롤유령 와라라
UCb4pEBH8YKy_gU_544FvANw,롤을모데TV
UCd1rHpqilTk9YIg96mNJPgQ,롤 번역남
UCzStedOWJCV6bt8zfTd5Gdw,리모 Remo : 롤게임 채널
UC3oqu1zkr9rQdD7FbRmEsZA,나도롤튜버할래
UCOmrwbflmYjjhGxcQeiO9Sw,블루 버프 (롤에 대한 재미있는 이야기)
UC4_S62verNTX-2xQ_YeMFPQ,정민롤 
UCJi42SYHiSO56jrkQXQ4ehw,롤 좀 켜줄래?
UCsodfIxzBxoZJxpOTdM-aCA,롤튜버
UCCVEktByK7uc-ew9QV4ze1A,갓재만의 롤 연구소
UCGGOP1GmswwXYSSq52HMdAA,롤로그나
UCdb1-w0t_n_zkUO8X_ZubRw,독거롤총각TV
UCVllzdqXxISuV1ZcRvypfeA,롤레전드클립모음좋아요
UCKrxaRAdjZuoQWVUd_hLceA,롤법원
UCA3EmVJmWX45oh1GpF692-w,엑클 - 현 프로의 롤 강의
UCCT7gBfTwxYu3xOwdKIzTmw,롤 팩폭러
UC4IkACAoPvuBB52PJDyR1JA,김국천의롤일기장
UClHig-03lqj_SaMZq0nf2bw,롤 숏츠 모음
UCB3xkbViLHGSvYrKVhvSiWg,롤캣의 롤 스토리LOL Story
UCnrqUleVPF3MscMv8LJQBBg,롤파민
UC0U0K3wU8H9zJwW5pkzVo2g,롤브이
UC-o0gPPldO52kas1mym0WGw,엣티제TV[롤하는ESTJ]
UCQ-2KG05b3h7CXMbAss2UWw,롤비됴
UCHuz_xVZ-adXcN_OKbBkwLQ,국밥 롤강의
UCYyQUj7k9Ha1tDi9lHDOpCw,맛있는 롤
UC2EmCHfUpc6Yosd3Oo8n8nQ,롤할배
UCjGeG3U6mbBen2Ur-8B9enQ,일상 롤 Daily routine 日常
UC1iR5J0oMKVlT1XEHdZZzpg,롤진남
UC3pgloqMreTi23IRZhuih1A,롤반상회
UCeCpu6hUPs5GFOG1JOkMfvQ,롤하는 젤리
UCXEe8quS-b4GphqJwcLIoqg,롤플레이 LoLPlay
UCNloZdu4SKo3-XGOwbejcAw,럭키 롤
UCfVouxl1FFvC7tZ4PRJOuUg,롤프레스
UCckwfgWfwzQWuWNplDmFTLw,롤짤봇
UCrB8lLh66ir5tVuRiYsBHAQ,안녕?-롤 스토리 및 게임
UClmjOkgwIjM3UuTs8T8Jwig,롤숏남
UCm6kpClqlGvmfMbEgUyLi_g,롤 생생정보
UC8RFfd4aApyS1AdPII97oBg,롤박사 쇼츠
UCxpta-KpYmxefTjP1rfYHdg,롤파민
UCTYlu-5_kM1HqV2nKl0V9hQ,롤 Empire
UC6ZfEgJ3SMFIzeE0LYCCH-g,롤붕이
UCzEPyxwvm194AyToMH6nv5w,전북대 수시남의 롤
UCvqurIaMNIpSDBq8ycybl4w,롤강사 브이롤그 VLOLG
UCSIAqpE4lU1GsFRGsAyGcJg,롤평가서
UCyeDakJyzHRJkVxRSFHtHcA,롤 좋아
UCzFXbOHkEWgDZoIKD_ZIJ7Q,브로롤
UCEqWjzHeKw9PkoxeF8DwH5w,롤딩쩡은
UCcT7XWk4KrI3bRHNKLHgGnw,롤해요
UCDmfkussiiYIqrT4P2IT2Ig,롤 협곡일기
UCLzTT67Dp90LdnKY2UHaDsQ,롤에옹
UConbPqnGY4KuxKhewuKPrTw,타우 롤플레잉 ταυ LP
UCRtgXeVYA_LZtGMRdBo5KHQ,롤아트
UC-I5Lck7MaYGldQyVz13yMg,롤 하이라이트
UCQ814LluGnpN7awTu93ggyg,토크롤
UCDThxVtCRluzy04UsSjstlQ,롤 분석가
UC2_2Un3OGtJIRpm-DDz2C5g,롤볼래
UCRFvB7W4d3RMwONQtOaOoHA,롤뿡이
UC7y118lKezq2lOdEitybQVQ,LOLeater 롤이터
UCmvFmeWUK3HFCjGKFQvEEdQ,롤피드백
UCu164hsuX6AQMtbwjCUZvYQ,낭만롤
UCv7Mg4iQ1o3Hh-OchI9rYHQ,롤친자
UCxqK75V_XTRyiW36C7YDTtg,롤하는아재TV
UCGe_DGR12MYdMQCKKMZyINg,롤 기본서실버가 쓰는
UCppBSStr5sqbdCJ8FvIEglA,롤 모든 순간
UC6HtOd6Btk4DWMRabal-Pag,롤 서포터 may
UCKPDMmy9qs_JoZN6UAdIh6g,롤플레이
UC0O6xLFZvUrouG2h84pmuMA,롤토토
UCiZFcVtvQrQnE3ptB2OHqqg,롤하는정훈
UCTeb5OUko9uXIR6MRFlP7NA,youtube롤도우미
UC2Mkja0-rAtZ06shFARtBsA,롤할라Lolhalla
UCYFuswRyp2EcVfy-r2pa2Og,롤삥뽕
UC_qX31Bq7x74tLRiQa6apqw,롤클음
UCSerJMj3UsO-2fgbap2xQPA,생생 롤보통
UCwY9i84hWZGzdIsCdGkpbJg,롤하는 아즘마
UCNZk92qF8WXH-tGe3B66ePQ,롤무비
UCmU3WeG_IuMDXRVkeAjlA_A,롤국밥
UCgFZyKfk17_F53eH40xiINQ,롤 멘토
UCPFnUoLquV5mHjAMT_R1UuA,롤박사무무
UCN8LAD3ox6g2phr3GTP5q2Q,롤반찬
UCFbz-5074k26yf7wXEkY5oA,롤배럭
