video_id,reason
3gLNkqE7ut4,video_unavailable
E_fxSfxomOQ,video_unavailable
_fTYJWisjKk,list_error: '_TranslationLanguage' object is not subscriptable
eMUIBI9ExUA,video_unavailable
YWD3jUQjv_s,video_unavailable
MtU1Lnq7QBI,video_unavailable
Ancf06OOgJU,video_unavailable
0qO_0CKxa7M,list_error: '_TranslationLanguage' object is not subscriptable
kZARHG5AhLI,video_unavailable
aOItXZLeVL8,list_error: '_TranslationLanguage' object is not subscriptable
_uz3Dkf1x3M,video_unavailable
ClemCZg7CzE,list_error: '_TranslationLanguage' object is not subscriptable
yPTxPMRyBeA,list_error: '_TranslationLanguage' object is not subscriptable
4yshFN-j-CU,video_unavailable
YHIZQzFgL4A,video_unavailable
abD5WSLqzrw,video_unavailable
uU--La7zZxA,video_unavailable
2XL9rJ_ZDUw,video_unavailable
o89K2OrzOj0,list_error: '_TranslationLanguage' object is not subscriptable
x45qLvAGh0Y,list_error: '_TranslationLanguage' object is not subscriptable
FIOITz2yffY,video_unavailable
GhXcTbb_bQ4,list_error: '_TranslationLanguage' object is not subscriptable
Yb1lfTHxA9U,video_unavailable
t0BODjdxvIA,list_error: '_TranslationLanguage' object is not subscriptable
qCBDo-YqRZI,list_error: '_TranslationLanguage' object is not subscriptable
icU2osR5D-M,video_unavailable
Vct11FKZ4Zw,list_error: '_TranslationLanguage' object is not subscriptable
doUIAdr-xj0,video_unavailable
3Wv7IteEH3w,list_error: '_TranslationLanguage' object is not subscriptable
l_HrZcpyrcQ,list_error: '_TranslationLanguage' object is not subscriptable
Omvsjw8sY6g,list_error: '_TranslationLanguage' object is not subscriptable
uK9WQjA1B-w,video_unavailable
JmBNMBkgwXk,video_unavailable
0JQpaAvvVg8,video_unavailable
PIYzSSq6W6A,video_unavailable
YRwZmu37qQo,list_error: '_TranslationLanguage' object is not subscriptable
hSy9pi4D2R4,list_error: '_TranslationLanguage' object is not subscriptable
1NZwSLjyOhk,video_unavailable
Dhpi2a7DlI0,video_unavailable
rF37l-Pp5qI,video_unavailable
nB2KsB0fVNA,video_unavailable
cwKNiC4F0JA,video_unavailable
tszRHpqTgRQ,list_error: '_TranslationLanguage' object is not subscriptable
6l4vnVzZlcs,list_error: '_TranslationLanguage' object is not subscriptable
aKYjCAyN0aw,video_unavailable
vVk_FXen9xA,video_unavailable
oKya4lPjrOU,video_unavailable
JR9jjfrStSk,video_unavailable
ie82ZdgKOyg,video_unavailable
6ij3Dwsg7E8,list_error: '_TranslationLanguage' object is not subscriptable
T3D7qHYau9A,video_unavailable
oBBDl5HtLnU,list_error: '_TranslationLanguage' object is not subscriptable
d5yvpiqcVbQ,video_unavailable
hBDqewgL-eg,list_error: '_TranslationLanguage' object is not subscriptable
j8nMWCzvQK8,list_error: '_TranslationLanguage' object is not subscriptable
t1jitFeN0k0,list_error: '_TranslationLanguage' object is not subscriptable
v5bi3W6LYTw,list_error: '_TranslationLanguage' object is not subscriptable
uDNydTpz3n8,list_error: '_TranslationLanguage' object is not subscriptable
LEEhzyUwWTE,video_unavailable
wQFlmhw7uXw,video_unavailable
OYaXgRVqsPE,video_unavailable
Qe_ayBW7K1w,video_unavailable
LDxEFzduIkM,video_unavailable
AVTmw9GadBw,video_unavailable
Wl7015-KAMM,video_unavailable
n1HDdz2bVXQ,video_unavailable
PIapJbIaV7o,list_error: '_TranslationLanguage' object is not subscriptable
M_K-HFBhxbo,video_unavailable
lghgFiQ2JIU,video_unavailable
PDAfdZg_9Wg,list_error: '_TranslationLanguage' object is not subscriptable
b2XLCKtOsG8,list_error: '_TranslationLanguage' object is not subscriptable
4e4QQrkKc00,video_unavailable
ceQNsYbjU7A,list_error: '_TranslationLanguage' object is not subscriptable
EKU34jx4Jus,video_unavailable
NFvnjBkkeBA,list_error: '_TranslationLanguage' object is not subscriptable
cyvQfLIX4h4,video_unavailable
MazTQIWdooo,video_unavailable
DKZ_8MGsBW8,video_unavailable
mow1ONNNAmw,list_error: '_TranslationLanguage' object is not subscriptable
A10xDJmIfcE,list_error: '_TranslationLanguage' object is not subscriptable
Jc9U3KOreYc,list_error: '_TranslationLanguage' object is not subscriptable
MIVWGvL_9tM,list_error: '_TranslationLanguage' object is not subscriptable
SqxoY6_w-KY,list_error: '_TranslationLanguage' object is not subscriptable
gXBi4D1kqTo,list_error: '_TranslationLanguage' object is not subscriptable
LcX6TE3zvhA,list_error: '_TranslationLanguage' object is not subscriptable
q0njnv_8Zac,video_unavailable
o-EGIskoLbY,list_error: '_TranslationLanguage' object is not subscriptable
jSViy7UaNJg,video_unavailable
7LxWR4keXyM,video_unavailable
C_MNNK7mwAI,video_unavailable
QxFe3dJTOy4,list_error: '_TranslationLanguage' object is not subscriptable
zPRO-LqiexA,video_unavailable
RJiyTzr5OcU,video_unavailable
8Gm2H4NqOps,video_unavailable
EkaiODz4Sv4,list_error: '_TranslationLanguage' object is not subscriptable
Sak4Bnhdv5o,video_unavailable
03-q7tWMos8,video_unavailable
c2dmyBYgsDA,list_error: '_TranslationLanguage' object is not subscriptable
noVkpCw7lf4,list_error: '_TranslationLanguage' object is not subscriptable
yc79RmGSMbg,video_unavailable
ErlOmtZRnHQ,video_unavailable
ez1CgwC4R3w,list_error: '_TranslationLanguage' object is not subscriptable
_bmSZbLRN1M,video_unavailable
1ONdiYWhpbI,list_error: '_TranslationLanguage' object is not subscriptable
O57p0XGSowI,video_unavailable
BwSTfZfeFHs,list_error: '_TranslationLanguage' object is not subscriptable
MNQ6F97AGHU,video_unavailable
6RVMfjUE-AE,list_error: '_TranslationLanguage' object is not subscriptable
zLmM37uEN1U,list_error: '_TranslationLanguage' object is not subscriptable
Vk6G3EqjXls,list_error: '_TranslationLanguage' object is not subscriptable
gm7dHx9oH-o,video_unavailable
DLzreWB7MZ4,list_error: '_TranslationLanguage' object is not subscriptable
PQQLCaj1oIA,video_unavailable
DkNfB4RqTh0,video_unavailable
Pb1fsq8gxGM,video_unavailable
ANUyCn2P4Ok,video_unavailable
Hr0heSv-mN4,video_unavailable
h_NXIXMhOSI,video_unavailable
otzKi3PwzN8,video_unavailable
uUa3lTYJgmI,list_error: '_TranslationLanguage' object is not subscriptable
AyY3b-or-ns,video_unavailable
QTnhEN6p1Wk,list_error: '_TranslationLanguage' object is not subscriptable
MFIC8rHMFSA,list_error: '_TranslationLanguage' object is not subscriptable
9-MqG0Q8LzQ,list_error: '_TranslationLanguage' object is not subscriptable
ImQTtI6Tsko,video_unavailable
0_THkJZIbLs,video_unavailable
PfYhtVRXnyk,video_unavailable
vGPqq9d2-tg,list_error: '_TranslationLanguage' object is not subscriptable
XyxbVKDN4vE,list_error: '_TranslationLanguage' object is not subscriptable
dY0VHbn1u34,list_error: '_TranslationLanguage' object is not subscriptable
NCWTg5Ogx7E,list_error: '_TranslationLanguage' object is not subscriptable
cJBNqR1hhcA,list_error: '_TranslationLanguage' object is not subscriptable
EoF4TZTcLfA,list_error: '_TranslationLanguage' object is not subscriptable
p4rmNj4CAoY,list_error: '_TranslationLanguage' object is not subscriptable
tOIyaVBExQM,video_unavailable
1oc8pIw7PVc,list_error: '_TranslationLanguage' object is not subscriptable
7Q6-QFsPJyk,list_error: '_TranslationLanguage' object is not subscriptable
4jLMd5DTDJY,video_unavailable
WHqtNjnVXkU,video_unavailable
q_YwhyiqyF8,video_unavailable
mSJ64tv81cc,list_error: '_TranslationLanguage' object is not subscriptable
ZFf1XeRz8n8,list_error: '_TranslationLanguage' object is not subscriptable
p6fDSyl2eAQ,video_unavailable
O3I0z3xKjsE,video_unavailable
DrBDUnD34t4,list_error: '_TranslationLanguage' object is not subscriptable
3pyAnW2i4Gs,list_error: '_TranslationLanguage' object is not subscriptable
wZsdAgtQPio,video_unavailable
b5p0edvz_Ys,video_unavailable
Wn8I-5VpKTg,video_unavailable
J028E9uNCRo,list_error: '_TranslationLanguage' object is not subscriptable
rMW6ozNw8No,list_error: '_TranslationLanguage' object is not subscriptable
s4na4omaNqw,list_error: '_TranslationLanguage' object is not subscriptable
RzivNpKj7T0,video_unavailable
tXWkPqUmMnw,video_unavailable
LNVSfvD3NN4,list_error: '_TranslationLanguage' object is not subscriptable
Mwd6VUSDqJM,video_unavailable
bKa4hKwxiKI,list_error: '_TranslationLanguage' object is not subscriptable
PIX4TqHNaqQ,video_unavailable
5Y-xwmPCMyQ,list_error: '_TranslationLanguage' object is not subscriptable
l7k63Ra8Q94,list_error: '_TranslationLanguage' object is not subscriptable
EME-nfH0oW0,video_unavailable
RzuuyLPOEDQ,video_unavailable
hRGnNjLWPQY,list_error: '_TranslationLanguage' object is not subscriptable
